Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA dedutível,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Tracção,Autonomia Máxima,Emissões CO2,Origem,Garantia de Fábrica até,Inspecção válida até,Número de Mudanças,Tipo de cor,Consumo Urbano,Filtro de partículas,IVA Discriminado,Consumo Combinado,ou até,IUC,Consumo Extra Urbano,Autonomia
Profissional,Hyundai,Ioniq,,1.6 GDI HEV Hybrid Tech,Híbrido (Gasolina),Janeiro,2019,150 715 km,1 580 cm3,141 cv,Sim,Sim,,Sim,Utilitário,Branco,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,,Usados,17 490        EUR,8088127378,1 Junho 2023,Tracção dianteira,,,Nacional,,,6,Metalizado,"3,60 l/100km",,Sim,,,,,
Profissional,Volvo,XC 60,,2.0 T6 PHEV Plus Dark AWD,Híbrido (Gasolina),Setembro,2022,15 000 km,1 969 cm3,350 cv,Sim,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,24 Meses,1,Sim,Sim,Sim,Usados,68 700        EUR,8089682519,1 Junho 2023,Integral,,25 g/km,Nacional,,26/09/2026,8,Metalizado,,,Sim,,,,,
Profissional,Citroën,DS5,,,Híbrido (Diesel),Março,2013,166 830 km,1 997 cm3,200 cv,,,,,Utilitário,Preto,Automática,5,5,,18 Meses,1,,,,Usados,17 900        EUR,8088700588,1 Junho 2023,,,,,,,,,,,,,,,,
Profissional,Mercedes-Benz,GLC 300,Classe GLC,de 4Matic,Híbrido (Diesel),Julho,2020,13 759 km,1 950 cm3,320 cv,,Sim,Sim,Sim,SUV / TT,Preto,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,Sim,Usados,65 400        EUR,8089154850,1 Junho 2023,Integral,,,,,,,Metalizado,,Sim,Sim,,,,,
Profissional,Porsche,Cayenne Coupé,,E-Hybrid,Híbrido (Gasolina),Outubro,2020,27 897 km,2 995 cm3,462 cv,,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 2,24 Meses,1,Sim,Sim,Sim,Usados,137 000        EUR,8089682316,1 Junho 2023,Integral,,73 g/km,Importado,,,8,Metalizado,,Sim,Sim,,,,,
Profissional,Volvo,S60,,2.0 T8 PHEV R-Design AWD,Híbrido (Gasolina),Fevereiro,2022,30 915 km,1 969 cm3,392 cv,Sim,Sim,Sim,Sim,Sedan,Preto,Automática,4,5,Classe 1,24 Meses,1,Sim,Sim,Sim,Usados,61 500        EUR,8089682216,1 Junho 2023,Integral,,40 g/km,Importado,,28/02/2026,8,Metalizado,,,Sim,,,,,
Particular,Hyundai,Santa Fe,,1.6 T-GDI PHEV Vanguard+Luxury Pack,Híbrido (Gasolina),Setembro,2021,35 000 km,1 598 cm3,265 cv,Sim,,,,SUV / TT,Preto,Automática,5,7,Classe 2,,1,Sim,Sim,Sim,Usados,49 999        EUR,8088582490,30 Maio 2023,Integral,60 km,,Importado,,,,Metalizado,,,,,,156 €,,
Profissional,VW,Golf,,1.4 TSI GTE+ DSG,Híbrido (Gasolina),Novembro,2020,52 000 km,1 395 cm3,245 cv,Sim,Sim,Sim,Sim,Sedan,Cinzento,Automática,5,5,,18 Meses,,,,Sim,Usados,36 900        EUR,8089639972,31 Maio 2023,,,38 g/km,Nacional,,,6,,,,,,,,,
Profissional,Toyota,C-HR,,1.8 Hybrid Square Collection,Híbrido (Gasolina),Junho,2021,53 500 km,1 798 cm3,122 cv,Sim,,Sim,Sim,SUV / TT,Branco,Automática,5,,,61 Meses,,,,,Usados,33 000        EUR,8088520777,1 Junho 2023,,,86 g/km,Nacional,15/07/2028,,,,,,,"3,80 l/100km",,,,
Profissional,Jeep,Wrangler Unlimited,,2.0 TG 4xe Rubicon,Híbrido (Gasolina),Abril,2023,50 km,1 995 cm3,380 cv,Sim,Sim,,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 2,48 Meses,1,,Sim,Sim,Usados,87 900        EUR,8089640138,31 Maio 2023,,,,Nacional,09/02/2027,,,,,,Sim,,,,,
